feature_set,model_name,split,actual_class,predicted_class,n
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,A,A,1188
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,H,H,3045
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,H,D,65
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,H,A,377
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,D,H,1135
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,D,D,64
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,D,A,533
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,A,H,788
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,A,D,72
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,A,A,1305
rating_plus_form_plus_goalscorers,lightgbm,validation,H,H,2998
rating_plus_form_plus_goalscorers,lightgbm,validation,H,D,75
rating_plus_form_plus_goalscorers,lightgbm,validation,H,A,459
rating_plus_form_plus_goalscorers,lightgbm,validation,D,H,1115
rating_plus_form_plus_goalscorers,lightgbm,validation,D,D,62
rating_plus_form_plus_goalscorers,lightgbm,validation,D,A,561
rating_plus_form_plus_goalscorers,lightgbm,validation,A,H,757
rating_plus_form_plus_goalscorers,lightgbm,validation,A,D,72
rating_plus_form_plus_goalscorers,lightgbm,validation,A,A,1235
rating_plus_form_plus_goalscorers,lightgbm,test,H,H,3020
rating_plus_form_plus_goalscorers,lightgbm,test,H,D,49
rating_plus_form_plus_goalscorers,lightgbm,test,H,A,418
rating_plus_form_plus_goalscorers,lightgbm,test,D,H,1108
rating_plus_form_plus_goalscorers,lightgbm,test,D,D,56
rating_plus_form_plus_goalscorers,lightgbm,test,D,A,568
rating_plus_form_plus_goalscorers,lightgbm,test,A,H,753
rating_plus_form_plus_goalscorers,lightgbm,test,A,D,42
rating_plus_form_plus_goalscorers,lightgbm,test,A,A,1370
