column,r_class,non_missing_n,missing_n,missing_prop,missing_percent,n_distinct,example_values,suggested_decision,reason,feature_role,notes,final_decision,final_notes
home_rating_date,Date,47884,1373,0.027874210772073,2.79,14471,1872-11-30 | 1873-03-08 | 1874-03-07 | 1875-03-06 | 1876-03-04 | 1876-03-25,exclude_as_feature_keep_for_audit,"Useful for validating rating freshness, but not used directly as a model feature.",unknown_review_required,Not auto-classified; name suggests a pre-match field. Review before using in models.,exclude_as_feature_keep_for_audit,"Useful for validating rating freshness, but not used directly as a model feature."
away_rank_pre_match,logical,0,49257,1,100,0,ALL_NA,exclude,"Excluded due to missingness, target leakage risk, or unusable current form.",unknown_review_required,Not auto-classified; name suggests a pre-match field. Review before using in models.,exclude,"Excluded due to missingness, target leakage risk, or unusable current form."
home_rank_pre_match,logical,0,49257,1,100,0,ALL_NA,exclude,"Excluded due to missingness, target leakage risk, or unusable current form.",unknown_review_required,Not auto-classified; name suggests a pre-match field. Review before using in models.,exclude,"Excluded due to missingness, target leakage risk, or unusable current form."
rank_diff,logical,0,49257,1,100,0,ALL_NA,exclude,"Excluded due to missingness, target leakage risk, or unusable current form.",unknown_review_required,NA,exclude,"Excluded due to missingness, target leakage risk, or unusable current form."
shootout_winner,character,676,48581,0.9862760622855636,98.63,182,Taiwan | South Korea | Iraq | Thailand | Ghana | Guinea,exclude,Post-match field. Not known before kickoff.,post_match_leakage,Known post-match outcome or score column; do not use as a predictor.,exclude,Post-match field. Not known before kickoff.
away_score,numeric,49257,0,0,0,22,0 | 2 | 1 | 3 | 4 | 6,exclude,"Excluded due to missingness, target leakage risk, or unusable current form.",post_match_leakage,Known post-match outcome or score column; do not use as a predictor.,exclude,"Excluded due to missingness, target leakage risk, or unusable current form."
away_win,numeric,49257,0,0,0,2,0 | 1,exclude,Direct target/result label. Cannot be used as a feature.,unknown_review_required,NA,exclude,Direct target/result label. Cannot be used as a feature.
away_won_shootout,numeric,49257,0,0,0,2,0 | 1,exclude,Post-match field. Not known before kickoff.,post_match_leakage,Known post-match outcome or score column; do not use as a predictor.,exclude,Post-match field. Not known before kickoff.
draw,numeric,49257,0,0,0,2,1 | 0,exclude,Direct target/result label. Cannot be used as a feature.,unknown_review_required,NA,exclude,Direct target/result label. Cannot be used as a feature.
home_score,numeric,49257,0,0,0,26,0 | 4 | 2 | 3 | 1 | 7,exclude,"Excluded due to missingness, target leakage risk, or unusable current form.",post_match_leakage,Known post-match outcome or score column; do not use as a predictor.,exclude,"Excluded due to missingness, target leakage risk, or unusable current form."
home_win,numeric,49257,0,0,0,2,0 | 1,exclude,Direct target/result label. Cannot be used as a feature.,unknown_review_required,NA,exclude,Direct target/result label. Cannot be used as a feature.
home_won_shootout,numeric,49257,0,0,0,2,0 | 1,exclude,Post-match field. Not known before kickoff.,post_match_leakage,Known post-match outcome or score column; do not use as a predictor.,exclude,Post-match field. Not known before kickoff.
shootout_played,logical,49257,0,0,0,2,FALSE | TRUE,exclude,Post-match field. Not known before kickoff.,unknown_review_required,NA,exclude,Post-match field. Not known before kickoff.
away_team,character,49257,0,0,0,321,England | Scotland | Wales | Northern Ireland | Canada | Argentina,review,Needs manual review.,identifier,NA,exclude,Raw team identifier. Excluded because cleaned team identifiers are already available.
data_split,character,49257,0,0,0,2,train | test,review,Needs manual review.,split,Train / test assignment for held-out evaluation.,exclude_as_feature_keep_for_split,Legacy train/test split (test from 2018-01-01). Keep for compatibility; prefer data_split_modeling for modeling.
data_split_modeling,character,49257,0,0,0,3,train | validation | test,review,Needs manual review.,unknown_review_required,NA,exclude_as_feature_keep_for_split,Authoritative train/validation/test split for modeling. Never use as a model feature.
home_team,character,49257,0,0,0,327,Scotland | England | Wales | Northern Ireland | United States | Uruguay,review,Needs manual review.,identifier,NA,exclude,Raw team identifier. Excluded because cleaned team identifiers are already available.
match_result,character,49257,0,0,0,3,D | H | A,review,Needs manual review.,target,Multiclass outcome label (H / D / A).,exclude,Target or target-derived result field. Direct leakage if used as a feature.
result_class,numeric,49257,0,0,0,3,0 | 1 | -1,review,Needs manual review.,post_match_leakage,Known post-match outcome or score column; do not use as a predictor.,exclude,Target or target-derived result field. Direct leakage if used as a feature.
source_match_id,character,49257,0,0,0,49257,1872_11_30_scotland_england_friendly | 1873_03_08_england_scotland_friendly | 1874_03_07_scotland_england_friendly | 1875_03_06_england_scotland_friendly | 1876_03_04_scotland_england_friendly | 1876_03_25_scotland_wales_friendly,review,Needs manual review.,identifier,NA,exclude,Source identifier only. Excluded to avoid memorization and because it has no pre-match signal.
